Month,Site,Species,V.cholerae,V.parahaemolyticus,Coliform,E.coli,Temp,Salinity,Season
Sept.23,SHEM,Ulva,2600,2600,3722.22,666.6666667,24.8,30.05,Rainy
Sept.23,SHEM,Gracilaria ,2600,2600,3866.67,666.6666667,24.8,30.05,Rainy
Sept.23,SHEM,Water,820,920,3611.11,666.6666667,24.8,30.05,Rainy
Sept.23,CHS,Ulva,2600,2600,5716.67,666.6666667,24.67,25.18,Rainy
Sept.23,CHS,Gracilaria ,2600,2600,13133.33,666.6666667,24.67,25.18,Rainy
Sept.23,CHS,Water,400,400,1466.67,666.6666667,24.67,25.18,Rainy
Sept.23,JIYC,Ulva,2200,2200,933.33,666.6666667,25,25.46,Rainy
Sept.23,JIYC,Gracilaria ,14000,14000,1400,666.6666667,25,25.46,Rainy
Sept.23,JIYC,Water,666.67,666.67,1633.33,666.6666667,25,25.46,Rainy
Oct,SHEM,Ulva,666.67,666.67,666.67,666.6666667,20.69,30.42,Dry
Oct,SHEM,Gracilaria ,6141.67,1816.665,866.67,666.6666667,20.69,30.42,Dry
Oct,SHEM,Water,2166.67,1765.67,2600,666.6666667,20.69,30.42,Dry
Oct,CHS,Ulva,5400,2000,4544.44,666.6666667,20.98,28.57,Dry
Oct,CHS,Gracilaria ,6400,4000,666.67,666.6666667,20.98,28.57,Dry
Oct,CHS,Water,4400,4000,1766.67,666.6666667,20.98,28.57,Dry
Oct,JIYC,Ulva,2000,2000,1500,666.6666667,21.54,27.52,Dry
Oct,JIYC,Gracilaria ,5200,4000,666.67,666.6666667,21.54,27.52,Dry
Oct,JIYC,Water,6000,4000,1266.67,666.6666667,21.54,27.52,Dry
Nov,SHEM,Ulva,933.33,666.67,666.67,666.6666667,17.25,30.39,Dry
Nov,SHEM,Gracilaria ,4450,2000,666.67,666.6666667,17.25,30.39,Dry
Nov,SHEM,Water,1200,666.67,766.67,666.6666667,17.25,30.39,Dry
Nov,CHS,Ulva,26000,26000,633.33,666.6666667,17.08,30.09,Dry
Nov,CHS,Gracilaria ,1200,666.67,666.67,666.6666667,17.08,30.09,Dry
Nov,CHS,Water,4700,666.67,1033.33,666.67,17.08,30.09,Dry
Nov,JIYC,Ulva,2000,666.67,666.67,666.67,18.37,28.62,Dry
Nov,JIYC,Gracilaria ,666.67,666.67,666.67,666.67,18.37,28.62,Dry
Nov,JIYC,Water,1200,666.67,666.67,666.67,18.37,28.62,Dry
Dec,SHEM,Ulva,1466.67,666.67,666.67,666.67,13.74,30.08,Dry
Dec,SHEM,Gracilaria ,NA,NA,NA,NA,13.74,30.08,Dry
Dec,SHEM,Water,1616.67,666.67,666.67,666.67,13.74,30.08,Dry
Dec,CHS,Ulva,9450,666.67,3444.44,666.67,14.87,27.33,Dry
Dec,CHS,Gracilaria ,3477.78,666.67,666.67,666.67,14.87,27.33,Dry
Dec,CHS,Water,966.67,666.67,666.67,666.67,14.87,27.33,Dry
Dec,JIYC,Ulva,666.67,666.67,666.67,666.67,14.32,26.99,Dry
Dec,JIYC,Gracilaria ,2500,666.67,666.67,666.67,14.32,26.99,Dry
Dec,JIYC,Water,666.67,666.67,666.67,666.67,14.32,26.99,Dry
Jan.24,SHEM,Ulva,5100,666.67,666.67,666.67,11.63,26.17,Dry
Jan.24,SHEM,Gracilaria ,33250,666.67,666.67,666.67,11.63,26.17,Dry
Jan.24,SHEM,Water,1066.67,666.67,666.67,666.67,11.63,26.17,Dry
Jan.24,CHS,Ulva,26000,26000,17850,666.67,11.85,23.52,Dry
Jan.24,CHS,Gracilaria ,4600,2000,1233.33,666.67,11.85,23.52,Dry
Jan.24,CHS,Water,1600,666.67,3300,666.67,11.85,23.52,Dry
Jan.24,JIYC,Ulva,666.67,666.67,666.667,666.67,12.14,21.84,Dry
Jan.24,JIYC,Gracilaria ,1000,666.67,666.67,666.67,12.14,21.84,Dry
Jan.24,JIYC,Water,666.67,666.67,666.67,666.67,12.14,21.84,Dry
Feb,SHEM,Ulva,4350,2000,748.75,666.67,12.64,23.72,Dry
Feb,SHEM,Gracilaria ,6100,4000,700,666.67,12.64,23.72,Dry
Feb,SHEM,Water,2000,2000,1451.39,666.67,12.64,23.72,Dry
Feb,CHS,Ulva,4000,4000,2111.11,666.67,12.84,20.11,Dry
Feb,CHS,Gracilaria ,2000,2000,793.34,666.67,12.84,20.11,Dry
Feb,CHS,Water,2000,2000,4816.67,666.67,12.84,20.11,Dry
Feb,JIYC,Ulva,1600,1000,478.65,666.67,14.03,18.74,Dry
Feb,JIYC,Gracilaria ,8600,2000,1579.44,666.67,14.03,18.74,Dry
Feb,JIYC,Water,1650,1000,1351.39,666.67,14.03,18.74,Dry
Mar,SHEM,Ulva,3690,800,707.5,666.67,16.07,21.87,Dry
Mar,SHEM,Gracilaria ,NA,NA,NA,NA,16.07,21.87,Dry
Mar,SHEM,Water,3583.34,666.67,1149.72,666.67,16.07,21.87,Dry
Mar,CHS,Ulva,11100,666.67,6000,666.67,16.38,20.13,Dry
Mar,CHS,Gracilaria ,14200,8000,10450,666.67,16.38,20.13,Dry
Mar,CHS,Water,1866.67,666.67,833.34,666.67,16.38,20.13,Dry
Mar,JIYC,Ulva,1633.33,666.67,250,666.67,16.61,18.71,Dry
Mar,JIYC,Gracilaria ,12000,12000,1851.11,666.67,16.61,18.71,Dry
