Site,Month,K0,R2,%SSI0.5,%SSI.B,MaxDepth,Temperature,Salinity
SHEM,Sept.23,2.131,0.9801,58,0,3.24,24.8,30.05
CHS,Sept.23,1.569,0.9624,48,0,4.91,24.67,25.18
JIYC,Sept.23,2.008,0.955,45,0,4.21,25,25.46
SHEM,Oct,1.629,0.9486,53,0,3.63,20.69,30.42
CHS,Oct,1.471,0.9603,90,0,5.1,20.98,28.57
JIYC,Oct,1.789,0.9729,61,0,4.61,21.54,27.52
SHEM,Nov,1.446,0.9717,49,0,4.32,17.25,30.39
CHS,Nov,1.924,0.9523,56,0,6.16,17.08,30.09
JIYC,Nov,1.423,0.9563,71,0,4.92,18.37,28.62
SHEM,Dec,1.214,0.9554,100,2,3.72,13.74,30.08
CHS,Dec,1.28,0.9778,96,0,5.01,14.87,27.33
JIYC,Dec,1.523,0.9701,75,0,4.43,14.32,26.99
SHEM,Jan,1.089,0.982,59,6,2.57,11.63,26.17
CHS,Jan,1.263,0.957,39,0,4.88,11.85,23.52
JIYC,Jan,1.914,0.9626,49,0,4.79,12.14,21.84
SHEM,Feb,1.22,0.9939,49,1,3.68,12.64,23.72
CHS,Feb,1.402,0.9558,69,0,5.82,12.84,20.11
JIYC,Feb,1.668,0.9676,64,0,5.58,14.03,18.74
SHEM,Mar,1.317,0.9921,58,3,2.79,16.07,21.87
CHS,Mar,1.171,0.9657,64,0,4.73,16.38,20.13
JIYC,Mar,1.51,0.9735,53,0,4.86,16.61,18.71
SHEM,Apr,1.205,0.9618,60,1,3.61,20.19,26.1
CHS,Apr,1.249,0.9619,83,0,5.58,20.61,25.22
JIYC,Apr,1.779,0.9784,72,0,4.88,21.32,24.96
SHEM,May,1.77,0.9769,57,0,3.61,26.68,25.83
CHS,May,1.363,0.9676,49,0,5.58,26.19,23.36
JIYC,May,1.99,0.9619,51,0,4.88,26.72,23.86
SHEM,Jun,1.369,0.9905,55,0,3.43,29.11,26.38
CHS,Jun,0.854,0.9593,62,2,5.86,28.44,19.58
JIYC,Jun,0.933,0.9531,66,9,5.54,28.89,21.45
SHEM,Jul,1.821,0.9965,71,0,2.62,29.83,25.67
CHS,Jul,1.158,0.975,61,0,4.71,30.22,23.35
JIYC,Jul,2.11,0.9679,100,0,4.46,30.75,23.27
SHEM,Aug,2.172,0.9747,31,0,3.43,28.16,23.16
CHS,Aug,2.997,0.964,36,0,5.64,28.9,21.79
JIYC,Aug,2.071,0.9558,48,0,5.4,28.98,22.13
SHEM,Sept.24,2.639,0.9756,38,0,4.21,25.36,28.57
CHS,Sept.24,2.083,0.9755,49,0,6.59,25.47,28
JIYC,Sept.24,2.467,0.9473,52,0,5.63,26.4,28.77
