Month,Site,Species,Y,alpha,beta,ETRmax,Ik,Replicate.ID,Temperature,Salinity
Sept.23,SHEM,Ulva,0.642,0.166,NA,26.178,157.984,1,24.8,30.05
Sept.23,SHEM,Ulva,0.547,0.198,0.007,72.456,435.753,2,24.8,30.05
Sept.23,SHEM,Ulva,0.515,0.157,0.061,49.743,371.209,3,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,1,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,2,24.8,30.05
Sept.23,SHEM,Gracilaria,NA,NA,NA,NA,NA,3,24.8,30.05
Sept.23,CHS,Ulva,0.724,0.254,0.002,25.63,101.015,1,24.67,25.18
Sept.23,CHS,Ulva,0.704,0.164,NA,27.311,166.936,2,24.67,25.18
Sept.23,CHS,Ulva,0.778,0.191,NA,38.806,203.263,3,24.67,25.18
Sept.23,CHS,Gracilaria,0.491,0.102,NA,24.434,239.681,1,24.67,25.18
Sept.23,CHS,Gracilaria,0.486,0.109,NA,23.257,189.57,2,24.67,25.18
Sept.23,CHS,Gracilaria,0.606,0.153,NA,23.283,151.73,3,24.67,25.18
Sept.23,JIYC,Ulva,0.671,0.273,0.006,49.41,227.197,1,25,25.46
Sept.23,JIYC,Ulva,0.753,0.259,0.015,72.324,337.921,2,25,25.46
Sept.23,JIYC,Ulva,0.635,0.218,0.031,79.482,428.681,3,25,25.46
Sept.23,JIYC,Gracilaria,0.54,0.119,NA,24.86,208.162,1,25,25.46
Sept.23,JIYC,Gracilaria,0.425,0.073,NA,23.469,319.803,2,25,25.46
Sept.23,JIYC,Gracilaria,0.543,0.127,NA,23.885,188.158,3,25,25.46
Oct,SHEM,Ulva,0.794,0.311,0.015,58.502,187.883,1,20.69,30.42
Oct,SHEM,Ulva,0.807,0.274,0.048,84.339,308.225,2,20.69,30.42
Oct,SHEM,Ulva,0.79,0.215,NA,83.477,388.045,3,20.69,30.42
Oct,SHEM,Gracilaria,0.611,0.145,NA,19.205,132.011,1,20.69,30.42
Oct,SHEM,Gracilaria,0.573,0.129,NA,24.683,191.369,2,20.69,30.42
Oct,SHEM,Gracilaria,0.557,0.286,0.002,50.81,361.036,3,20.69,30.42
Oct,CHS,Ulva,0.683,0.21,0.006,36.485,173.462,1,20.98,28.57
Oct,CHS,Ulva,0.775,0.297,0.012,46.14,155.513,2,20.98,28.57
Oct,CHS,Ulva,0.75,0.229,0.007,20.667,90.248,3,20.98,28.57
Oct,CHS,Gracilaria,0.48,0.074,NA,22.927,307.743,1,20.98,28.57
Oct,CHS,Gracilaria,0.534,0.13,NA,17.983,137.854,2,20.98,28.57
Oct,CHS,Gracilaria,0.491,0.113,NA,25.303,224.064,3,20.98,28.57
Oct,JIYC,Ulva,0.379,0.148,NA,67.951,207.585,1,21.54,27.52
Oct,JIYC,Ulva,0.713,0.272,0.012,49.427,181.524,2,21.54,27.52
Oct,JIYC,Ulva,0.753,0.252,0.012,40.382,160.26,3,21.54,27.52
Oct,JIYC,Gracilaria,0.54,0.083,NA,18.906,227.39,1,21.54,27.52
Oct,JIYC,Gracilaria,0.563,0.165,NA,20.984,127.372,2,21.54,27.52
Oct,JIYC,Gracilaria,0.585,0.113,NA,21.18,186.939,3,21.54,27.52
Nov,SHEM,Ulva,0.758,0.254,NA,87.254,429.036,1,17.25,30.39
Nov,SHEM,Ulva,0.63,0.203,NA,91.338,407.314,2,17.25,30.39
Nov,SHEM,Ulva,0.778,0.22,NA,93.151,423.702,3,17.25,30.39
Nov,SHEM,Gracilaria,0.576,0.203,NA,31.249,199.255,1,17.25,30.39
Nov,SHEM,Gracilaria,0.594,0.089,NA,32.481,185.384,2,17.25,30.39
Nov,SHEM,Gracilaria,0.542,0.13,NA,29.652,203.458,3,17.25,30.39
Nov,CHS,Ulva,0.775,0.213,0.007,64.937,248.024,1,17.08,30.09
Nov,CHS,Ulva,0.785,0.214,0.001,59.139,276.237,2,17.08,30.09
Nov,CHS,Ulva,0.718,0.249,0.01,39.387,158.485,3,17.08,30.09
Nov,CHS,Gracilaria,0.59,0.071,NA,15.796,222.72,1,17.08,30.09
Nov,CHS,Gracilaria,0.571,0.118,NA,27.407,231.344,2,17.08,30.09
Nov,CHS,Gracilaria,0.617,0.145,NA,21.339,146.91,3,17.08,30.09
Nov,JIYC,Ulva,0.709,0.193,NA,66.517,344.188,1,18.37,28.62
Nov,JIYC,Ulva,0.789,0.224,NA,129.43,577.733,2,18.37,28.62
Nov,JIYC,Ulva,0.802,0.245,0.236,93.999,383.313,3,18.37,28.62
Nov,JIYC,Gracilaria,0.582,0.128,NA,36.564,285.063,1,18.37,28.62
Nov,JIYC,Gracilaria,0.559,0.184,0.006,28.715,156.45,2,18.37,28.62
Nov,JIYC,Gracilaria,0.559,0.171,0.001,21.824,127.918,3,18.37,28.62
Dec,SHEM,Ulva,0.619,0.149,NA,70.38,473.859,1,13.74,30.08
Dec,SHEM,Ulva,0.775,0.224,NA,131.9,587.774,2,13.74,30.08
Dec,SHEM,Ulva,0.764,0.212,NA,87.988,414.521,3,13.74,30.08
