Month,Site,Ammonium.uM,Nitrate.uM,Phosphate.uM
Sept.23,SHEM,13.85970651,0,0.421172333
Sept.23,SHEM,4.435106082,3.225525519,0.210586167
Sept.23,SHEM,2.217553041,1.612762759,0.31587925
Sept.23,CHS,0,1.612762759,0.31587925
Sept.23,CHS,0,1.612762759,0.737051583
Sept.23,CHS,0.55438826,3.225525519,0.842344666
Sept.23,JIYC,2.771941301,3.225525519,0.6317585
Sept.23,JIYC,1.663164781,1.612762759,0.6317585
Sept.23,JIYC,3.880717822,4.838288278,0.94763775
Oct,SHEM,5.543882603,1.612762759,1.263517
Oct,SHEM,4.435106082,1.612762759,0.842344666
Oct,SHEM,3.880717822,4.838288278,1.789982416
Oct,CHS,5.543882603,3.225525519,0.105293083
Oct,CHS,4.989494342,1.612762759,0.6317585
Oct,CHS,3.326329562,1.612762759,0.842344666
Oct,JIYC,1.663164781,1.612762759,1.474103166
Oct,JIYC,2.217553041,1.612762759,1.368810083
Oct,JIYC,0.55438826,3.225525519,0.94763775
Nov,SHEM,2.771941301,4.838288278,2.737620166
Nov,SHEM,1.663164781,4.838288278,1.158223916
Nov,SHEM,0.55438826,3.225525519,0.421172333
Nov,CHS,1.108776521,1.612762759,0.842344666
Nov,CHS,2.771941301,1.612762759,0.842344666
Nov,CHS,1.663164781,3.225525519,0.6317585
Nov,JIYC,1.108776521,1.612762759,0.6317585
Nov,JIYC,2.217553041,1.612762759,0.105293083
Nov,JIYC,1.663164781,1.612762759,0.842344666
Dec,SHEM,0.55438826,4.838288278,2.948206332
Dec,SHEM,0,3.225525519,0.94763775
Dec,SHEM,0.55438826,3.225525519,0.6317585
Dec,CHS,0,3.225525519,0.6317585
Dec,CHS,0.55438826,1.612762759,0.421172333
Dec,CHS,2.217553041,3.225525519,0.94763775
Dec,JIYC,0.55438826,1.612762759,0.737051583
Dec,JIYC,0,1.612762759,0.526465416
Dec,JIYC,0.55438826,1.612762759,0.6317585
Jan.24,SHEM,2.771941301,1.612762759,0.31587925
Jan.24,SHEM,0.55438826,1.612762759,0.6317585
Jan.24,SHEM,0,1.612762759,0.737051583
Jan.24,CHS,2.771941301,1.612762759,0.94763775
Jan.24,CHS,2.217553041,3.225525519,0.6317585
Jan.24,CHS,2.217553041,3.225525519,0.6317585
Jan.24,JIYC,1.663164781,1.612762759,0.6317585
Jan.24,JIYC,0.55438826,0,0.31587925
Jan.24,JIYC,1.663164781,3.225525519,0.210586167
Feb,SHEM,1.108776521,6.451051037,1.263517
Feb,SHEM,0.55438826,1.612762759,0.526465416
Feb,SHEM,1.663164781,1.612762759,0.6317585
Feb,CHS,2.217553041,1.612762759,0.526465416
Feb,CHS,2.771941301,3.225525519,0.94763775
Feb,CHS,2.217553041,1.612762759,0.737051583
Feb,JIYC,2.217553041,1.612762759,0.6317585
Feb,JIYC,1.663164781,0,0.6317585
Feb,JIYC,1.663164781,3.225525519,0.737051583
Mar,SHEM,4.989494342,1.612762759,1.263517
Mar,SHEM,2.771941301,3.225525519,1.579396249
Mar,SHEM,1.663164781,1.612762759,0.6317585
Mar,CHS,3.326329562,1.612762759,0.210586167
Mar,CHS,4.435106082,1.612762759,0.737051583
Mar,CHS,3.326329562,3.225525519,1.368810083
Mar,JIYC,1.663164781,1.612762759,1.052930833
Mar,JIYC,2.217553041,0,0.421172333
Mar,JIYC,2.771941301,1.612762759,0.6317585
Apr,SHEM,1.663164781,3.225525519,1.263517
Apr,SHEM,0,3.225525519,0.6317585
Apr,SHEM,1.108776521,1.612762759,0.526465416
Apr,CHS,1.108776521,3.225525519,0.31587925
Apr,CHS,0,0,0.94763775
Apr,CHS,0.55438826,4.838288278,0.421172333
Apr,JIYC,1.108776521,3.225525519,0.94763775
Apr,JIYC,0.55438826,3.225525519,0.737051583
Apr,JIYC,1.108776521,6.451051037,0.94763775
May,SHEM,0,4.838288278,0.421172333
May,SHEM,0.55438826,4.838288278,0.31587925
May,SHEM,1.108776521,6.451051037,0.526465416
May,CHS,1.108776521,1.612762759,0.6317585
May,CHS,0.55438826,4.838288278,0.421172333
May,CHS,1.108776521,1.612762759,0.842344666
May,JIYC,0,3.225525519,0.737051583
May,JIYC,0,1.612762759,0.842344666
May,JIYC,0,1.612762759,0.31587925
Jun,SHEM,3.326329562,1.612762759,0.105293083
Jun,SHEM,1.663164781,3.225525519,0.737051583
Jun,SHEM,0,4.838288278,1.579396249
Jun,CHS,3.880717822,1.612762759,0.94763775
Jun,CHS,0,8.063813797,0.842344666
Jun,CHS,2.217553041,3.225525519,0.526465416
Jun,JIYC,1.108776521,6.451051037,0.737051583
Jun,JIYC,2.217553041,8.063813797,0.6317585
Jun,JIYC,1.663164781,6.451051037,0.6317585
Jul,SHEM,0,6.451051037,1.579396249
Jul,SHEM,0,1.612762759,0.31587925
Jul,SHEM,0.55438826,6.451051037,0.31587925
Jul,CHS,2.217553041,1.612762759,0.105293083
Jul,CHS,2.217553041,1.612762759,0.421172333
Jul,CHS,1.108776521,1.612762759,0.31587925
Jul,JIYC,1.108776521,3.225525519,0.105293083
Jul,JIYC,1.108776521,1.612762759,0.421172333
Jul,JIYC,1.663164781,3.225525519,0.526465416
Aug,SHEM,1.108776521,3.225525519,1.052930833
Aug,SHEM,0.55438826,4.838288278,1.263517
Aug,SHEM,0.55438826,4.838288278,0.842344666
Aug,CHS,0,4.838288278,1.158223916
Aug,CHS,1.108776521,4.838288278,1.052930833
Aug,CHS,0.55438826,6.451051037,1.474103166
Aug,JIYC,0.55438826,3.225525519,0.94763775
Aug,JIYC,0.55438826,6.451051037,1.368810083
Aug,JIYC,0.55438826,6.451051037,1.263517
Sept.24,SHEM,1.108776521,3.225525519,0.6317585
Sept.24,SHEM,1.108776521,1.612762759,0.6317585
Sept.24,SHEM,1.108776521,12.90210207,0.94763775
Sept.24,CHS,0,8.063813797,0.842344666
Sept.24,CHS,0,11.28933932,1.158223916
Sept.24,CHS,0,9.676576556,1.052930833
Sept.24,JIYC,1.108776521,8.063813797,4.422309498
Sept.24,JIYC,1.108776521,6.451051037,0.421172333
Sept.24,JIYC,0,9.676576556,0.6317585
